username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags,tweets_cleaned,polarity,subjectivity,positive,negative,neutral,sentiment
mogleypacalypse,CURSUS HONORUM,,209,20,9427,2013-10-05 17:13:32,2020-12-10 21:11:31,3,"Could SpaceX be headed to Mars in the next four to six years? Even though a recent test launch by the company ended with a crash, CEO Elon Musk says the test was still a success. They gathered important data that Musk says will help them reach the planet.

https://t.co/YCOIneEmYS https://t.co/mVt7RbukRJ",[],spacex head mars year recent test launch company end crash ceo elon musk say test success gather important datum musk say help reach planet https://t.co/ycoineemys https://t.co/mvt7rbukrj,0.2333333333333333,0.4166666666666667,0.282,0.082,0.636,neutral
AndyPetersAJC,"Business news reporter at @AJC : commercial real estate, economic development, etc. Former @amerbanker","Atlanta, GA ; Decatur, GA",1220,1974,3032,2011-06-24 11:40:47,2020-12-10 21:10:48,0,"Because when you're a multibillionaire, you want to hang on to every single last cent you have.
https://t.co/gvqbXzDDWa",[],multibillionaire want hang single cent https://t.co/gvqbxzddwa,-0.07142857142857142,0.21428571428571427,0.206,0.0,0.794,neutral
Bobo_697,Hay Now! Shitty Driving Instructer; Wig-wearing Bald-asshole; Extreme Sooper Fan; Dopey Qwestions Writer; Annoying Sniffer; Interpretive Dance instructer,Flawida,1688,666,20271,2017-01-24 23:11:59,2020-12-10 21:10:11,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/Po2eE9AO1o via @TheBabylonBee",[],immediately move texas elon musk announce tesla ar-15 https://t.co/po2ee9ao1o @thebabylonbee,0.0,0.0,0.0,0.0,1.0,neutral
lupe_busto,"Soy cubana, martiana. Amo a los niños y trabajo de maestra en Houston, Texas. Amo la libertad. Detesto las dictaduras. Deseo un futuro mejor para los jovenes.","Houston, Tx.",5800,6734,118419,2013-03-13 14:48:07,2020-12-10 21:06:12,93,"Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/xgIVlYUAA2",[],elon musk bye california move texas https://t.co/xgivlyuaa2,0.0,0.0,0.0,0.0,1.0,neutral
PremCompUT,"We are a sales and service provider of business automation solutions. 

""Delivering winning strategies by navigating the complex world of ERP and CRM""","Cottonwood Heights, UT",7,26,747,2017-12-14 22:49:54,2020-12-10 21:05:24,0,"""Tesla CEO Elon Musk beat out Microsoft co-founder Bill Gates to become the second-richest person in the world on Tuesday."" https://t.co/tcnqqpIonf",[],tesla ceo elon musk beat microsoft co founder bill gates second rich person world tuesday https://t.co/tcnqqpionf,0.1875,0.375,0.194,0.0,0.806,neutral
IMTHEMIDDLESIS1,Don’t fit any mold. Don’t assume anything about me and I’ll do my best to extend that same grace to you.,,315,44,1444,2019-05-15 20:44:46,2020-12-10 21:05:08,0,"@shauseman @chrislhayes Maybe the Texas AG (in addition to seeking a pardon for himself) is butt hurt over the news that Elon Musk has moved to Texas from California?? 

Ever heard about how die-hard conservative Texans feel about Californians moving to their beloved Red State?!? 😂",[],@shauseman @chrislhayes maybe texas ag addition seek pardon butt hurt news elon musk move texas california hear die hard conservative texans feel californians move beloved red state 😂,0.1361111111111111,0.5138888888888888,0.209,0.236,0.556,neutral
Swag_Daddy__,"“Beware that, when fighting monsters, you yourself do not become a monster. For when you gaze long into the abyss, the abyss also gazes into you.” - Nietzsche",55 Cancri e,109,208,42001,2010-08-26 01:49:37,2020-12-10 21:05:07,126,Elon Musk and Jeff Bezos — the world's two richest people — have been pouring cash into a private space race for a decade. Then they qualified for a federal tax break meant to help the poor https://t.co/J0LHtsWFxt,[],elon musk jeff bezos world rich people pour cash private space race decade qualify federal tax break mean help poor https://t.co/j0lhtswfxt,-0.084375,0.603125,0.23,0.113,0.657,neutral
fearnothing23,Truth is the new counter culture 🇺🇸MAGA keep fighting it’s not over till the fat lady sings. Trump will prevail,"Pennsylvania, USA",4771,3916,91580,2009-09-01 04:57:48,2020-12-10 21:04:01,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 | The Babylon Bee https://t.co/LvSXmYemze",[],immediately move texas elon musk announce tesla ar-15 | babylon bee https://t.co/lvsxmyemze,0.0,0.0,0.0,0.0,1.0,neutral
itsupportwales,Green Light Technology Solutions. A Microsoft Small Business Specialist and Dell Partner. We use managed services software to get it right first time.,Swansea ,148,245,106091,2011-07-07 16:01:54,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/VXLooMKrTx,[],elon musk starship take sky https://t.co/vxloomkrtx,0.0,0.0,0.0,0.0,1.0,neutral
sana_tech,Quality UK based domain and web hosting. 99.9% server up time and free support when you need it.,UK,89,908,40097,2009-12-25 11:23:13,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/Niu5IPnPqe,[],elon musk starship take sky https://t.co/niu5ipnpqe,0.0,0.0,0.0,0.0,1.0,neutral
Acc_Sol,"Especialistas en Soporte Técnico a Equipo de Computo, Consultores en Tecnología de Información.  Especialistas en Seguridad, Respaldo de Datos y Filtrado de Int","Querétaro, México",662,400,50123,2011-05-24 20:13:50,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/Tdob5LpoQ4,[],elon musk starship take sky https://t.co/tdob5lpoq4,0.0,0.0,0.0,0.0,1.0,neutral
Tech_BWR,@BWR_Updates: an Automated Twitter feed for http://t.co/UWYOiYXYNY provided by Ben Ryder at http://t.co/UW1cDxJ22Y,,0,28,22037,2012-04-23 21:02:43,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/jtobJyqxtP,[],elon musk starship take sky https://t.co/jtobjyqxtp,0.0,0.0,0.0,0.0,1.0,neutral
alpeshkaushal,,India,14,3,1413,2013-04-24 11:40:14,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/6LTPp55EXg,[],elon musk starship take sky https://t.co/6ltpp55exg,0.0,0.0,0.0,0.0,1.0,neutral
TechIndustry_b,"A Tech Industry community with less noise & more highlights
on @briefly_tldr. Follow for an invite to join our open beta!",Internet,4941,2932,30477,2014-09-05 01:11:57,2020-12-10 20:59:49,0,"Elon Musk seeks to raise $ 5 billion by selling Tesla stock (Entrepreneur)

Image credit: Vía EngadgetFree Book Preview Money-Smart SolopreneurThis book gives you the essential g...

Add your highlights:
https://t.co/ASPU76xwFA
 #tech #techbiz","[{'text': 'tech', 'indices': [229, 234]}, {'text': 'techbiz', 'indices': [235, 243]}]",elon musk seek raise $ 5 billion sell tesla stock entrepreneur image credit vía engadgetfree book preview money smart solopreneurthis book give essential g add highlight https://t.co/aspu76xwfa tech techbiz,0.10714285714285714,0.4714285714285714,0.228,0.0,0.772,neutral
superawkward77,Patriot,earth ,8718,8940,55543,2012-07-09 19:44:48,2020-12-10 20:58:52,1,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 | The Babylon Bee https://t.co/jVm76v8co3",[],immediately move texas elon musk announce tesla ar-15 | babylon bee https://t.co/jvm76v8co3,0.0,0.0,0.0,0.0,1.0,neutral
NLP_365,#Life #EmotionalIntelligence #Motivation #Leadership #Sucess,,165,159,12094,2015-05-11 20:32:41,2020-12-10 20:53:32,0,Elon Musk Seeks to Raise $5 Billion By Selling Tesla Stock https://t.co/2o8wWyE1AR https://t.co/yCJDCHAVbu,[],elon musk seek raise $ 5 billion sell tesla stock https://t.co/2o8wwye1ar https://t.co/ycjdchavbu,0.0,0.0,0.0,0.0,1.0,neutral
segosity,"Pro-Democracy = Anti-fascism.
The answer: #Socialism 4 needs, #libertarianism 4 social issues, & regulated #capitalism 4 true commodities. Obviously.",North of DC,1148,1209,26132,2012-09-18 16:46:13,2020-12-10 20:52:34,0,"@AKolostomyBag bitcoin is a commodity. Because something has perceived value, and can be traded, that does not make it currency.

Some earn it. Most of the rich don't earn their money. You think Elon Musk ""earned"" the increase in the value of his stock? No.",[],@akolostomybag bitcoin commodity perceive value trade currency earn rich earn money think elon musk earn increase value stock,0.375,0.75,0.433,0.0,0.567,neutral
AnaheimSigns,"https://t.co/MYpQ7PSdii  Orange County sign company, #AnaheimSigns Lighted #ChannelLetters Irvine , 3d Building Letters https://t.co/Tk4Gx05r5g","Anaheim, California, USA",2128,791,30935,2009-05-16 15:04:27,2020-12-10 20:51:05,0,Elon Musk seeks to raise $ 5 billion by selling Tesla stock https://t.co/11bSIKqQWb,[],elon musk seek raise $ 5 billion sell tesla stock https://t.co/11bsikqqwb,0.0,0.0,0.0,0.0,1.0,neutral
TorontoNewsMail,Advertising opportunities are available including traditional banner ads and featured listings. For more information go to http://t.co/NG37AglD,"Toronto, Ontario, Canada",618,1603,10329,2010-12-07 01:41:36,2020-12-10 20:49:54,0,"Elon Musk follows up on his threat to leave California, moves to Texas. https://t.co/2vUgwDkpbV",[],elon musk follow threat leave california move texas https://t.co/2vugwdkpbv,0.0,0.0,0.0,0.397,0.603,neutral
patriciaselfies,hair is my passion! shine your light. resist💙. we live in volatile times today . working for a better day,United States,8246,8490,36133,2019-12-28 14:12:50,2020-12-10 20:49:25,1,"@Public_Citizen Elon Musk did not get richer because of the pandemic. He got richer because the value of the Telsa stock got higher. Never the less. Musk does more for humanity with Tesla, SolarCity and Space X than Amazon.",[],@public_citizen elon musk rich pandemic get rich value telsa stock get high musk humanity tesla solarcity space x amazon,0.30333333333333334,0.68,0.43,0.0,0.57,neutral
AFTvitaliy,"Full-Service Professional Truck Dispatch Agency & Lease on Operation for Owner Operators!
Learn More https://t.co/N65w5enQF6 or call/text (801) 448-6363 xt.1","Salt Lake City, Utah",155,2812,132605,2012-05-10 01:30:36,2020-12-10 20:47:27,0,"Elon Musk Decries ‘M.B.A.-ization’ of America https://t.co/MVfdfdizwL
#YahooFinance #Traffic #Transportation #Shipping #Logistics
Follow @AFTvitaliy for #Trucking News","[{'text': 'YahooFinance', 'indices': [70, 83]}, {'text': 'Traffic', 'indices': [84, 92]}, {'text': 'Transportation', 'indices': [93, 108]}, {'text': 'Shipping', 'indices': [109, 118]}, {'text': 'Logistics', 'indices': [119, 129]}, {'text': 'Trucking', 'indices': [153, 162]}]",elon musk decries m.b.a.-ization america https://t.co/mvfdfdizwl yahoofinance traffic transportation ship logistics follow @aftvitaliy trucking news,0.0,0.0,0.0,0.0,1.0,neutral
Ross_McAleer,"Word-Smith, Thrill seeker, Raconteur. I often move my feet fast to loud music. 'Keep It Simple!'","Bangor, Northern Ireland",1626,538,4154,2010-02-07 14:40:21,2020-12-10 20:47:23,4882,WATCH: @ElonMusk and @GayleKing test drove the tunnel he hopes will solve L.A. traffic: https://t.co/0c4jh0LzQj https://t.co/uCh2hH7QZi,[],watch @elonmusk @gayleking test drive tunnel hope solve l.a. traffic https://t.co/0c4jh0lzqj https://t.co/uch2hh7qzi,0.0,0.0,0.32,0.0,0.68,neutral
TambovskVolk001,…https://t.co/pTJvBO5hPG LIVES MATTER.Cheers2allMedics.Patriot.Trump2020.NASCARAnimals loverHISTORYBuff.SportsBets.LoveOceanMountainsFreedomNevada,"Las Vegas, NV",22484,20508,57768,2017-06-06 22:48:36,2020-12-10 20:46:09,0,Elon Musk provokes heated debate on corporate strategy after lamenting ‘MBA-ization of America’ — RT USA News https://t.co/n6f8KfUh1F,[],elon musk provoke heated debate corporate strategy lament mba ization america rt usa news https://t.co/n6f8kfuh1f,0.0,0.0,0.0,0.305,0.695,neutral
JSPrivateLtd,One-on-one international wealth structuring for HNWIs & Family Offices | Reserved for select clients of @JimmySextonLLM. concierge@jsprivate.com,,279,65,1654,2018-11-22 04:56:07,2020-12-10 20:39:17,2,"Musk Flees California. He Now Faces a Battle to Escape Its Taxes

https://t.co/TjYhcMh95Z",[],musk flees california face battle escape taxis https://t.co/tjyhcmh95z,0.0,0.0,0.155,0.391,0.455,neutral
weRtroydavis,"Born with Rbf. Get over it. PTSD came later, unrelated. Evading stalkers, family since 1978.
Trump Regime must dissolve.Permanently.Proto-Resister",,4414,2081,171625,2011-09-22 03:24:30,2020-12-10 20:38:51,170,Elon Musk and Jeff Bezos — the world's two richest people — have been pouring cash into a private space race for a decade. Then they qualified for a federal tax break meant to help the poor. https://t.co/lQJ5RqTa4U via @business,[],elon musk jeff bezos world rich people pour cash private space race decade qualify federal tax break mean help poor https://t.co/lqj5rqta4u @business,-0.084375,0.603125,0.222,0.109,0.669,neutral
Sweethonezty07,"As government expands, Liberty contracts. (READ THAT AGAIN) 
❤Ronald Reagan
#MAGA #PATRIOT 
#GODBLESSAMERICA
🚫 Lists",,5770,7028,79070,2016-11-15 23:03:09,2020-12-10 20:38:36,1820,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[],breaking elon musk bye california move texas https://t.co/28rld2uan3 https://t.co/zm5wk21ylt,0.0,0.0,0.0,0.0,1.0,neutral
BSteverman,"I write about wealth, taxes, inequality and other financial things at Bloomberg. Email bsteverman at bloombergdotnet","New York, NY",1508,3822,2738,2011-05-03 21:45:37,2020-12-10 20:37:59,2,There are a lot of CA vs Texas and Elon Musk stories out today. This is a *very smart* story on the tax implications by @BSteverman: https://t.co/p0hVVP3ojc,[],lot vs texas elon musk story today smart story tax implication @bsteverman https://t.co/p0hvvp3ojc,0.21428571428571427,0.6428571428571429,0.184,0.0,0.816,neutral
rockoftalk,"Rock of Talk™️ | https://t.co/Br7uDzMl4E | ABQ.NM.USA | @rockoftalk WORLDWIDE | “I did not commit suicide"" | ✝️ #abqfm #rockoftalk #ABQ #NM #tcot #nmpol","Albuquerque, New Mexico - USA",4511,9734,38123,2011-12-19 21:17:22,2020-12-10 20:37:32,0,https://t.co/439sSOWNug - https://t.co/pCW4lMzQJf News Radio  - Elon Musk has left California and moved to Texas https://t.co/0yAu2m3dK0 - #abqfm #rockoftalk #ABQ #NM #tcot #nmpol #newsabq,"[{'text': 'abqfm', 'indices': [139, 145]}, {'text': 'rockoftalk', 'indices': [146, 157]}, {'text': 'ABQ', 'indices': [158, 162]}, {'text': 'NM', 'indices': [163, 166]}, {'text': 'tcot', 'indices': [167, 172]}, {'text': 'nmpol', 'indices': [173, 179]}, {'text': 'newsabq', 'indices': [180, 188]}]",https://t.co/439ssownug https://t.co/pcw4lmzqjf news radio elon musk leave california move texas https://t.co/0yau2m3dk0 abqfm rockoftalk abq nm tcot nmpol newsabq,0.0,0.0,0.0,0.066,0.934,neutral
AeronetNG,"Networking, IT Services, Web Design, CCTV Camera Installation, Software Design, etc","Kano, Nigeria",272,361,181355,2012-01-26 15:48:09,2020-12-10 20:32:32,0,Elon Musk's Starship takes to the skies https://t.co/LKRUkOhgK7,[],elon musk starship take sky https://t.co/lkrukohgk7,0.0,0.0,0.0,0.0,1.0,neutral
kriseno,#BeTheLight 🔥 #SaveOurOceans #BanPlasticWaste 🐋🐳🐬🐟🐠#ReduceReuseRepurposeRepairRecycle ♻️ #EndFossilFuel #GoSolar #WindPower #TaxCarbon #PlantTrees 🌱🌲🌳,,47,279,29454,2008-10-15 22:24:26,2020-12-10 20:31:20,0,"The wisdom of @ElonMusk too many MBAs looking at numbers in 📊 &amp; not enough engineers solving real problems. It's the reason America's stock market 📈while manufacturing 📉 and factories move offshore. Energy is where your attention is focused.

https://t.co/E4Z74aqfL7",[],wisdom @elonmusk mba look number 📊 amp engineer solve real problem reason america stock market 📈 manufacture 📉 factory offshore energy attention focus https://t.co/e4z74aqfl7,0.2,0.30000000000000004,0.258,0.081,0.661,neutral
foxfiresix,Zen CyberPunk Polyglot Hillbilly.  WTF hap'd to USA?!  Follow the money.  #TransnationalOrganizedCrime Corruption/Politics/Tech/BioTech/Freedom of Speech/Press.,Our World,11814,11759,5898,2014-01-23 17:45:28,2020-12-10 20:31:03,0,"Is a landing on Mars just 2 years away?

https://t.co/GWcRETVNCw",[],landing mars 2 year away https://t.co/gwcretvncw,0.0,0.0,0.0,0.0,1.0,neutral
jimlallen135,"Retired Admin/Educator. Likes Photography, Hunting, Fishing,Camping, and OKC Thunder. Proud Veteran.","Conway, AR",1474,804,13882,2011-06-09 23:26:58,2020-12-10 20:28:34,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/3RWns57u3t via @TheBabylonBee",[],immediately move texas elon musk announce tesla ar-15 https://t.co/3rwns57u3 t @thebabylonbee,0.0,0.0,0.0,0.0,1.0,neutral
PyTTootie,Know Thyself and All will Be Revealed 🌞💎👑,5th Demension Consiousness  ,380,710,7668,2009-10-08 18:09:54,2020-12-10 20:28:04,0,Elon Musk Announces Tesla AR-15 | He is not about that Dictatorship Life on the People Although he’s a Billionaire. He’s a True Patriot!  https://t.co/V0nZCqu7Lf,[],elon musk announce tesla ar-15 | dictatorship life people billionaire true patriot https://t.co/v0nzcqu7lf,0.35,0.65,0.189,0.0,0.811,neutral
A_GlobalCitizen,"Opened up my eyes, shit I’m finally awake good morning #BlackLivesMatter",,1991,1313,142649,2011-03-24 04:25:49,2020-12-10 20:27:43,46,"🚀 EXCLUSIVE: Bezos and Musk, the world’s richest men, committed billions to a private space race

Now they're eligible for an extra boost from the federal government: a tax break intended to help poor communities

https://t.co/ukTDOfmrAC @davidkski @business https://t.co/7tEivBRMAW",[],🚀 exclusive bezos musk world rich man commit billion private space race eligible extra boost federal government tax break intend help poor community https://t.co/uktdofmrac @davidkski @business https://t.co/7teivbrmaw,-0.0062500000000000056,0.45625000000000004,0.345,0.084,0.571,neutral
rockoftalk,"Rock of Talk™️ | https://t.co/Br7uDzMl4E | ABQ.NM.USA | @rockoftalk WORLDWIDE | “I did not commit suicide"" | ✝️ #abqfm #rockoftalk #ABQ #NM #tcot #nmpol","Albuquerque, New Mexico - USA",4511,9734,38123,2011-12-19 21:17:22,2020-12-10 20:27:08,0,https://t.co/439sSOWNug - https://t.co/pCW4lMzQJf News Radio  - Elon Musk says he has moved to Texas because of Starship and Tesla Gigafactory https://t.co/7JhgUowRql - #abqfm #rockoftalk #ABQ #NM #tcot #nmpol #newsabq,"[{'text': 'abqfm', 'indices': [169, 175]}, {'text': 'rockoftalk', 'indices': [176, 187]}, {'text': 'ABQ', 'indices': [188, 192]}, {'text': 'NM', 'indices': [193, 196]}, {'text': 'tcot', 'indices': [197, 202]}, {'text': 'nmpol', 'indices': [203, 209]}, {'text': 'newsabq', 'indices': [210, 218]}]",https://t.co/439ssownug https://t.co/pcw4lmzqjf news radio elon musk say move texas starship tesla gigafactory https://t.co/7jhguowrql abqfm rockoftalk abq nm tcot nmpol newsabq,0.0,0.0,0.0,0.0,1.0,neutral
BlueLakesMC1,Masculinity is not toxic: Character over Color: All Labs Matter: Decent Humans Matter Too: Most bombshells are duds.,,433,76,6293,2020-05-24 12:13:44,2020-12-10 20:25:49,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/JLH4AXXIYk via @TheBabylonBee",[],immediately move texas elon musk announce tesla ar-15 https://t.co/jlh4axxiyk @thebabylonbee,0.0,0.0,0.0,0.0,1.0,neutral
brujeff77,Keep America Great ! 2020 🇺🇸            #ParadiseStrong #MAGA,,14111,17164,145587,2015-10-13 19:16:44,2020-12-10 20:24:43,1,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 😂 https://t.co/ZmHVvlGni9 via @TheBabylonBee",[],immediately move texas elon musk announce tesla ar-15 😂 https://t.co/zmhvvlgni9 @thebabylonbee,0.0,0.0,0.203,0.102,0.695,neutral
Dreb26,,Houston,171,44,4900,2012-10-15 00:03:30,2020-12-10 20:23:21,0,"@SignsClear @Vets4AP @RashidaTlaib Regarding Elon Musk, that’s just a cult type of stock. While the company is doing better and turning a profit now, the stock has the support of so many that like the move to electric and that’s embodied by Tesla. Supply and Demand of the stock caused that rise.",[],@signsclear @vets4ap @rashidatlaib elon musk cult type stock company well turn profit stock support like electric embody tesla supply demand stock cause rise,0.0,0.0,0.343,0.051,0.606,neutral
