username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
OfficialYAY,"CC: @RxYahyaGandi7

#RealFootball. Team #SmackDown","Sokoto, Nigeria",226,40,1588,2015-07-21 08:51:00,2020-12-10 21:30:26,18,"“Mars, here we come!!”

SpaceX's prototype rocket is destroyed after its test launch, but Elon Musk says it got all the data it needed for its programme to Mars https://t.co/qKFQa9vpau https://t.co/KIdueu3LAc",[]
EccentricFlower,Extremely stubborn and suspicious.,Greater Bostonia,90,222,157619,2009-11-19 17:12:50,2020-12-10 21:30:00,489,"American citizens: $1200 a month + healthcare for all? 

Government: Hell no. 

Billionaires that got tax cuts and hide money off-shore: Can we use a supposed antipoverty tax breaks to fund our hobbies of trying to exploit space? 

Government: Hell yes! 

https://t.co/htiDasTm9u",[]
fauzan_mufc,"●● same planet, another world ●●",Right behind you !,0,124,282112,2013-05-20 11:53:55,2020-12-10 21:29:32,0,Elon Musk's Starship takes to the skies https://t.co/TiZhhCEm8f,[]
LiberalLies7,#MAGA High Order Patriot Against the Party of Hate,"Bogotá, D.C., Colombia",211,121,3886,2020-02-12 15:11:52,2020-12-10 21:27:01,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
ketoo1002,,,93,0,42,2013-09-22 04:12:54,2020-12-10 21:23:02,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
StyleWhite4,Style,Edinburgh castle,230,16,119,2020-08-06 09:24:49,2020-12-10 21:21:46,0,Latest news. Fact. This corono viris was engenierd.. Elon musk used his biotec company with amazon and Marc zub to get the people to buy online. To fund space X. Space X up 10 billion amazon up 26 billion. All ong were told it was China. It was them to get us tobuy online FacT https://t.co/ZL6cKx15w3,[]
TheFreedomFan,I am an individual with free will who is responsible for my own actions.  I'm not responsible for others' actions even if we share the same skin color. #Science,Destroy Democrat Bigotry,8600,9229,117946,2011-06-01 21:26:47,2020-12-10 21:20:56,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
GetTechStories,Bringing you the most interesting stories in technology today.,London,373,41,4663,2017-09-03 14:52:25,2020-12-10 21:19:27,0,"Elon Musk moves to Texas
https://t.co/fC7iYRaAS6",[]
oscarsalazar726,"Integra, Socializa, Comparte...","Quito, Ecuador",537,67,196,2020-03-22 17:32:12,2020-12-10 21:19:01,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
SunnySh12514065,,,41,44,1189,2020-06-07 14:32:13,2020-12-10 21:18:14,100,"Synthetic mRNA technology is on human markets for the first time ever. Elon Musk says this type of mRNA therapy has the power to reverse aging or even completely re-write your genetic structure. 

Yet I'm one of the only news sources covering it. https://t.co/rSPlH3TwTk",[]
Liime3,,,114,6,48,2020-12-07 14:58:58,2020-12-10 21:17:04,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
climate,The intersection of environmentally engaged + solutions seekers.,,87,43286,16978,2016-10-05 17:23:01,2020-12-10 21:16:41,0,Tesla beats a legal challenge that threatened to delay Elon Musk’s plan to build his first electric-car factory in Germany https://t.co/Y5v12r460y,[]
Time2BeRUTHless,"entrepreneur/investor/teacher/yogi/voter/taxpayer
#BidenHarris2020 #BLM #FBResist #LockThemAllUp
Charge 45 in the ICC at The Hague
Proudly blocked by Kushner",U.S.A.,2864,2363,6317,2020-08-19 18:31:30,2020-12-10 21:13:18,0,"Billionaires like Elon Musk are so rich that he just blew up his spaceship last night &amp; it barely made a blip on the news. His reaction: Oh, well. We can learn from it &amp; move on.

Meanwhile, many American are relying on food banks.

#StimulusChecksOrStrike
https://t.co/eMUdF9okZj","[{'text': 'StimulusChecksOrStrike', 'indices': [241, 264]}]"
mogleypacalypse,CURSUS HONORUM,,209,20,9427,2013-10-05 17:13:32,2020-12-10 21:11:31,3,"Could SpaceX be headed to Mars in the next four to six years? Even though a recent test launch by the company ended with a crash, CEO Elon Musk says the test was still a success. They gathered important data that Musk says will help them reach the planet.

https://t.co/YCOIneEmYS https://t.co/mVt7RbukRJ",[]
AndyPetersAJC,"Business news reporter at @AJC : commercial real estate, economic development, etc. Former @amerbanker","Atlanta, GA ; Decatur, GA",1220,1974,3032,2011-06-24 11:40:47,2020-12-10 21:10:48,0,"Because when you're a multibillionaire, you want to hang on to every single last cent you have.
https://t.co/gvqbXzDDWa",[]
Bobo_697,Hay Now! Shitty Driving Instructer; Wig-wearing Bald-asshole; Extreme Sooper Fan; Dopey Qwestions Writer; Annoying Sniffer; Interpretive Dance instructer,Flawida,1688,666,20271,2017-01-24 23:11:59,2020-12-10 21:10:11,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/Po2eE9AO1o via @TheBabylonBee",[]
AmuuOfficial,,,174,16,47,2020-12-02 00:29:16,2020-12-10 21:06:46,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
lupe_busto,"Soy cubana, martiana. Amo a los niños y trabajo de maestra en Houston, Texas. Amo la libertad. Detesto las dictaduras. Deseo un futuro mejor para los jovenes.","Houston, Tx.",5800,6734,118419,2013-03-13 14:48:07,2020-12-10 21:06:12,93,"Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/xgIVlYUAA2",[]
PremCompUT,"We are a sales and service provider of business automation solutions. 

""Delivering winning strategies by navigating the complex world of ERP and CRM""","Cottonwood Heights, UT",7,26,747,2017-12-14 22:49:54,2020-12-10 21:05:24,0,"""Tesla CEO Elon Musk beat out Microsoft co-founder Bill Gates to become the second-richest person in the world on Tuesday."" https://t.co/tcnqqpIonf",[]
IMTHEMIDDLESIS1,Don’t fit any mold. Don’t assume anything about me and I’ll do my best to extend that same grace to you.,,315,44,1444,2019-05-15 20:44:46,2020-12-10 21:05:08,0,"@shauseman @chrislhayes Maybe the Texas AG (in addition to seeking a pardon for himself) is butt hurt over the news that Elon Musk has moved to Texas from California?? 

Ever heard about how die-hard conservative Texans feel about Californians moving to their beloved Red State?!? 😂",[]
Swag_Daddy__,"“Beware that, when fighting monsters, you yourself do not become a monster. For when you gaze long into the abyss, the abyss also gazes into you.” - Nietzsche",55 Cancri e,109,208,42001,2010-08-26 01:49:37,2020-12-10 21:05:07,126,Elon Musk and Jeff Bezos — the world's two richest people — have been pouring cash into a private space race for a decade. Then they qualified for a federal tax break meant to help the poor https://t.co/J0LHtsWFxt,[]
fearnothing23,Truth is the new counter culture 🇺🇸MAGA keep fighting it’s not over till the fat lady sings. Trump will prevail,"Pennsylvania, USA",4771,3916,91580,2009-09-01 04:57:48,2020-12-10 21:04:01,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 | The Babylon Bee https://t.co/LvSXmYemze",[]
itsupportwales,Green Light Technology Solutions. A Microsoft Small Business Specialist and Dell Partner. We use managed services software to get it right first time.,Swansea ,148,245,106091,2011-07-07 16:01:54,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/VXLooMKrTx,[]
sana_tech,Quality UK based domain and web hosting. 99.9% server up time and free support when you need it.,UK,89,908,40097,2009-12-25 11:23:13,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/Niu5IPnPqe,[]
Acc_Sol,"Especialistas en Soporte Técnico a Equipo de Computo, Consultores en Tecnología de Información.  Especialistas en Seguridad, Respaldo de Datos y Filtrado de Int","Querétaro, México",662,400,50123,2011-05-24 20:13:50,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/Tdob5LpoQ4,[]
Tech_BWR,@BWR_Updates: an Automated Twitter feed for http://t.co/UWYOiYXYNY provided by Ben Ryder at http://t.co/UW1cDxJ22Y,,0,28,22037,2012-04-23 21:02:43,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/jtobJyqxtP,[]
alpeshkaushal,,India,14,3,1413,2013-04-24 11:40:14,2020-12-10 21:03:32,0,Elon Musk's Starship takes to the skies https://t.co/6LTPp55EXg,[]
CGTNOfficial,CGTN is an international media organization. It aims to provide global audiences with accurate and timely news coverage as well as rich audiovisual services.,"Beijing, China",69,13732298,150272,2013-01-24 03:18:59,2020-12-10 21:02:30,3,"Could SpaceX be headed to Mars in the next four to six years? Even though a recent test launch by the company ended with a crash, CEO Elon Musk says the test was still a success. They gathered important data that Musk says will help them reach the planet.

https://t.co/YCOIneEmYS https://t.co/mVt7RbukRJ",[]
cgtnamerica,"Watch live: https://t.co/rtNij3XmD3 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.","Washington, DC",2200,288833,74525,2012-06-27 14:45:38,2020-12-10 21:00:00,3,"Could SpaceX be headed to Mars in the next four to six years? Even though a recent test launch by the company ended with a crash, CEO Elon Musk says the test was still a success. They gathered important data that Musk says will help them reach the planet.

https://t.co/YCOIneEmYS https://t.co/mVt7RbukRJ",[]
TechIndustry_b,"A Tech Industry community with less noise & more highlights
on @briefly_tldr. Follow for an invite to join our open beta!",Internet,4941,2932,30477,2014-09-05 01:11:57,2020-12-10 20:59:49,0,"Elon Musk seeks to raise $ 5 billion by selling Tesla stock (Entrepreneur)

Image credit: Vía EngadgetFree Book Preview Money-Smart SolopreneurThis book gives you the essential g...

Add your highlights:
https://t.co/ASPU76xwFA
 #tech #techbiz","[{'text': 'tech', 'indices': [229, 234]}, {'text': 'techbiz', 'indices': [235, 243]}]"
onixcode,,,135,9,56,2020-06-21 17:35:37,2020-12-10 20:59:04,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
superawkward77,Patriot,earth ,8718,8940,55543,2012-07-09 19:44:48,2020-12-10 20:58:52,1,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 | The Babylon Bee https://t.co/jVm76v8co3",[]
DonHubbell2,"Devilish Voice of Common Sense, Perfection Consultant, Very Proud Army Pop -Family Above All Else- Firearm/Personal Protection Instructor #2A #NRA #GOA","Halloween Hell House, USA 🇺🇸",4034,3268,71761,2017-07-11 19:02:52,2020-12-10 20:55:03,1,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 | The Babylon Bee https://t.co/jVm76v8co3",[]
NLP_365,#Life #EmotionalIntelligence #Motivation #Leadership #Sucess,,165,159,12094,2015-05-11 20:32:41,2020-12-10 20:53:32,0,Elon Musk Seeks to Raise $5 Billion By Selling Tesla Stock https://t.co/2o8wWyE1AR https://t.co/yCJDCHAVbu,[]
segosity,"Pro-Democracy = Anti-fascism.
The answer: #Socialism 4 needs, #libertarianism 4 social issues, & regulated #capitalism 4 true commodities. Obviously.",North of DC,1148,1209,26132,2012-09-18 16:46:13,2020-12-10 20:52:34,0,"@AKolostomyBag bitcoin is a commodity. Because something has perceived value, and can be traded, that does not make it currency.

Some earn it. Most of the rich don't earn their money. You think Elon Musk ""earned"" the increase in the value of his stock? No.",[]
AnaheimSigns,"https://t.co/MYpQ7PSdii  Orange County sign company, #AnaheimSigns Lighted #ChannelLetters Irvine , 3d Building Letters https://t.co/Tk4Gx05r5g","Anaheim, California, USA",2128,791,30935,2009-05-16 15:04:27,2020-12-10 20:51:05,0,Elon Musk seeks to raise $ 5 billion by selling Tesla stock https://t.co/11bSIKqQWb,[]
TorontoNewsMail,Advertising opportunities are available including traditional banner ads and featured listings. For more information go to http://t.co/NG37AglD,"Toronto, Ontario, Canada",618,1603,10329,2010-12-07 01:41:36,2020-12-10 20:49:54,0,"Elon Musk follows up on his threat to leave California, moves to Texas. https://t.co/2vUgwDkpbV",[]
patriciaselfies,hair is my passion! shine your light. resist💙. we live in volatile times today . working for a better day,United States,8246,8490,36133,2019-12-28 14:12:50,2020-12-10 20:49:25,1,"@Public_Citizen Elon Musk did not get richer because of the pandemic. He got richer because the value of the Telsa stock got higher. Never the less. Musk does more for humanity with Tesla, SolarCity and Space X than Amazon.",[]
AFTvitaliy,"Full-Service Professional Truck Dispatch Agency & Lease on Operation for Owner Operators!
Learn More https://t.co/N65w5enQF6 or call/text (801) 448-6363 xt.1","Salt Lake City, Utah",155,2812,132605,2012-05-10 01:30:36,2020-12-10 20:47:27,0,"Elon Musk Decries ‘M.B.A.-ization’ of America https://t.co/MVfdfdizwL
#YahooFinance #Traffic #Transportation #Shipping #Logistics
Follow @AFTvitaliy for #Trucking News","[{'text': 'YahooFinance', 'indices': [70, 83]}, {'text': 'Traffic', 'indices': [84, 92]}, {'text': 'Transportation', 'indices': [93, 108]}, {'text': 'Shipping', 'indices': [109, 118]}, {'text': 'Logistics', 'indices': [119, 129]}, {'text': 'Trucking', 'indices': [153, 162]}]"
Ross_McAleer,"Word-Smith, Thrill seeker, Raconteur. I often move my feet fast to loud music. 'Keep It Simple!'","Bangor, Northern Ireland",1626,538,4154,2010-02-07 14:40:21,2020-12-10 20:47:23,4882,WATCH: @ElonMusk and @GayleKing test drove the tunnel he hopes will solve L.A. traffic: https://t.co/0c4jh0LzQj https://t.co/uCh2hH7QZi,[]
TambovskVolk001,…https://t.co/pTJvBO5hPG LIVES MATTER.Cheers2allMedics.Patriot.Trump2020.NASCARAnimals loverHISTORYBuff.SportsBets.LoveOceanMountainsFreedomNevada,"Las Vegas, NV",22484,20508,57768,2017-06-06 22:48:36,2020-12-10 20:46:09,0,Elon Musk provokes heated debate on corporate strategy after lamenting ‘MBA-ization of America’ — RT USA News https://t.co/n6f8KfUh1F,[]
sara63870806,,,183,7,156,2020-11-03 19:34:07,2020-12-10 20:45:37,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
NoumanQ57105261,,,261,16,148,2020-11-26 07:17:40,2020-12-10 20:44:07,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
JSPrivateLtd,One-on-one international wealth structuring for HNWIs & Family Offices | Reserved for select clients of @JimmySextonLLM. concierge@jsprivate.com,,279,65,1654,2018-11-22 04:56:07,2020-12-10 20:39:17,2,"Musk Flees California. He Now Faces a Battle to Escape Its Taxes

https://t.co/TjYhcMh95Z",[]
weRtroydavis,"Born with Rbf. Get over it. PTSD came later, unrelated. Evading stalkers, family since 1978.
Trump Regime must dissolve.Permanently.Proto-Resister",,4414,2081,171625,2011-09-22 03:24:30,2020-12-10 20:38:51,170,Elon Musk and Jeff Bezos — the world's two richest people — have been pouring cash into a private space race for a decade. Then they qualified for a federal tax break meant to help the poor. https://t.co/lQJ5RqTa4U via @business,[]
Sweethonezty07,"As government expands, Liberty contracts. (READ THAT AGAIN) 
❤Ronald Reagan
#MAGA #PATRIOT 
#GODBLESSAMERICA
🚫 Lists",,5770,7028,79070,2016-11-15 23:03:09,2020-12-10 20:38:36,1820,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
BSteverman,"I write about wealth, taxes, inequality and other financial things at Bloomberg. Email bsteverman at bloombergdotnet","New York, NY",1508,3822,2738,2011-05-03 21:45:37,2020-12-10 20:37:59,2,There are a lot of CA vs Texas and Elon Musk stories out today. This is a *very smart* story on the tax implications by @BSteverman: https://t.co/p0hVVP3ojc,[]
ioniqman,🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇵🇱 🇺🇸TRUMP WON END OF STORY #TRUMP2020 twitter 🖕😅🍿time https://t.co/TMzTCncP7l watch this America https://t.co/n0272EkFoC👈,", England",707,946,32366,2018-03-12 20:45:40,2020-12-10 20:37:36,93,"Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/xgIVlYUAA2",[]
rockoftalk,"Rock of Talk™️ | https://t.co/Br7uDzMl4E | ABQ.NM.USA | @rockoftalk WORLDWIDE | “I did not commit suicide"" | ✝️ #abqfm #rockoftalk #ABQ #NM #tcot #nmpol","Albuquerque, New Mexico - USA",4511,9734,38123,2011-12-19 21:17:22,2020-12-10 20:37:32,0,https://t.co/439sSOWNug - https://t.co/pCW4lMzQJf News Radio  - Elon Musk has left California and moved to Texas https://t.co/0yAu2m3dK0 - #abqfm #rockoftalk #ABQ #NM #tcot #nmpol #newsabq,"[{'text': 'abqfm', 'indices': [139, 145]}, {'text': 'rockoftalk', 'indices': [146, 157]}, {'text': 'ABQ', 'indices': [158, 162]}, {'text': 'NM', 'indices': [163, 166]}, {'text': 'tcot', 'indices': [167, 172]}, {'text': 'nmpol', 'indices': [173, 179]}, {'text': 'newsabq', 'indices': [180, 188]}]"
_ecbrown,hey fam- emi,,200,138,1048,2014-06-04 17:47:57,2020-12-10 20:36:45,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
WilliamAmos,Former staffer at Twitchy. Now freelance looking for work.,"Florida, USA",4084,1693,215465,2009-04-30 02:49:55,2020-12-10 20:35:59,2,"Musk Flees California. He Now Faces a Battle to Escape Its Taxes

https://t.co/TjYhcMh95Z",[]
Mhmd96885904,Ilove.... 🧐🧐,,426,11,959,2020-09-04 08:20:28,2020-12-10 20:35:51,57,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
teddyschleifer,"I write for @Recode about how Silicon Valley billionaires spend their money — on elections, philanthropy & COVID.

I work for your tips. DM me for my Signal #.",teddyschleifer@protonmail.com,6826,30903,36401,2011-04-23 00:33:06,2020-12-10 20:35:11,2,"Musk Flees California. He Now Faces a Battle to Escape Its Taxes

https://t.co/TjYhcMh95Z",[]
Silicontrary,A very surprised cat.,Baltimore,628,2117,8467,2013-05-21 02:15:05,2020-12-10 20:33:28,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
AeronetNG,"Networking, IT Services, Web Design, CCTV Camera Installation, Software Design, etc","Kano, Nigeria",272,361,181355,2012-01-26 15:48:09,2020-12-10 20:32:32,0,Elon Musk's Starship takes to the skies https://t.co/LKRUkOhgK7,[]
