username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
DailyBreezeNews,Local. News. Matters. We cover the South Bay and Harbor Area of Los Angeles County. #LocalNewsMatters,"Torrance, CA",540,45537,105750,2011-08-19 00:46:32,2020-12-08 23:17:08,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/PGPlCp9x0e",[]
ocregister,"Orange County, California News, Sports and Entertainment","Orange County, CA",2474,222356,127095,2008-12-02 22:16:26,2020-12-08 23:17:07,1,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/HLnTue43XW",[]
presstelegram,Local. News. Matters. We cover the Greater Long Beach area. #LocalNewsMatters,"Long Beach, CA",637,21222,115106,2010-07-06 22:41:41,2020-12-08 23:17:07,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/Dkh8Icm7Dc",[]
SGVTribune,Local. News. Matters. We cover breaking news and local news in the San Gabriel Valley. #LocalNewsMatters,"Monrovia, CA",531,39092,142608,2009-01-21 22:39:12,2020-12-08 23:17:07,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/oiiNEZcAy3",[]
diegodelacruz,"💡@FRInteligente 🗞 @libre_mercado 🎙@esRadio 📽@antena3com @movistarplus 📚 #Porquésoyliberal📊@iee_madrid 🖊IE, UCJC",Madrid,1077,41488,84657,2009-03-17 20:20:38,2020-12-08 23:17:05,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
Digassado,"$Fdiga

0xe812Bf2F0Db3426f387A12e3Cf036E0eD389bd96  #ETH

   https://t.co/xpNvceEouz",Neverland,3491,1549,157505,2011-01-10 04:37:43,2020-12-08 23:16:54,0,"Elon Musk is the second richest Man on the planet and is relocating his factory to Texas, from Cali🤔🤔",[]
The_D_Langlois,💳 Payment processor 💸Referral Partner 🤝 Deal Maker 👶Volunteer/donor for https://t.co/IaalUYGStE ⛪️ All glory to God English | Français | Español,,352,39,348,2020-08-30 17:29:32,2020-12-08 23:16:51,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
0gabrielduarte,"Libertad y progreso.
Biomedicina",Por todos lados,396,285,10160,2019-04-16 07:27:29,2020-12-08 23:16:44,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
MyJacquiU,"Oficial(r) Policía ,Trabajadora Social y Docente Universitaria.
Do first things first.",Colombia,400,58,1871,2012-09-23 20:32:08,2020-12-08 23:16:36,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
sbsun,Local. News. Matters. We are San Bernardino County's local news source. #LocalNewsMatters,"San Bernardino, CA",335,44495,137426,2009-04-30 17:58:18,2020-12-08 23:16:35,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/IqVUYst5lt",[]
pressenterprise,"Riverside County, California news, sports and entertainment.","Riverside, CA",2925,102676,137513,2008-08-21 21:58:24,2020-12-08 23:16:35,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/IXmneaYEYH",[]
PeteFurseth,,"Dallas, TX",879,176,410,2017-05-17 19:13:44,2020-12-08 23:16:25,0,The Great Texas migration is here! https://t.co/a0QqgIXvVo,[]
Theheat37090148,,,119,4,1436,2020-11-19 13:14:50,2020-12-08 23:16:22,395,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
carlosgqm,"Todo lo que me gusta es ilegal, es inmoral o engorda. Visto de cerca nadie es normal.  Retweet≠endorsement",Dirdam,876,147,57199,2010-09-17 18:23:02,2020-12-08 23:16:22,6,Elon Musk says he has moved from California to Texas https://t.co/EtV0lY5BZr,[]
RichardWdowiak,be Infinite.,,304,528,1839,2018-05-04 04:04:10,2020-12-08 23:16:21,4,LOOKING INTO JOE BIDEN'S ANKLE! WHO IS ELON MUSK? &amp; THE TRUTH ABOUT LEON... https://t.co/nRD4IIrcMx via @YouTube,[]
Juperanium,I write stories,Where the universe takes me.,34,15,333,2018-03-17 04:46:51,2020-12-08 23:16:21,83,"Tesla CEO Elon Musk said he has moved to Texas, becoming one of the highest-profile executives yet to leave Silicon Valley during the pandemic https://t.co/MNOmVVfbva https://t.co/qkRzBpvU1O",[]
ivdailybulletin,Local. News. Matters. We cover the Inland Valley. #LocalNewsMatters,"Ontario, CA",277,14643,125801,2009-04-30 18:49:34,2020-12-08 23:16:19,0,"Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/Ldk4omqOMB",[]
Juperanium,I write stories,Where the universe takes me.,34,15,333,2018-03-17 04:46:51,2020-12-08 23:16:15,94,Elon Musk relocates to Texas from California https://t.co/jWwTInTmiQ https://t.co/zh4bpohary,[]
Traveller_Makk,"Right of Centre, fiscal conservative. Hockey, Soccer fan. RT's not endorsements",Wildrose Country,2278,1734,604653,2009-12-12 23:52:28,2020-12-08 23:16:07,32,"Elon Musk joins California exodus, moves his personal residence to Texas after clashing with Sacramento over Covid-19 restrictions https://t.co/rGo86ccerV",[]
Juperanium,I write stories,Where the universe takes me.,34,15,333,2018-03-17 04:46:51,2020-12-08 23:16:05,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
RedlandsNews,Local. News. Matters. Your source for Redlands local news. #LocalNewsMatters,"Redlands, CA",250,10231,115469,2009-06-19 18:51:08,2020-12-08 23:16:04,0,"Elon Musk follows 687,626 Californians who moved to Texas https://t.co/XRUguxUNHm",[]
PasStarNews,"Local. News. Matters. We cover the news from Pasadena, Calif., and surrounding communities. #LocalNewsMatters","Pasadena, Calif.",579,45122,125293,2009-01-23 21:37:36,2020-12-08 23:16:04,0,"Elon Musk follows 687,626 Californians who moved to Texas https://t.co/omIoEW9go7",[]
theegoldstate,"A Silicon Valley #independent #News #Media #Startup
 *If you have any tips you'd like us to cover, please DM or tag us*","California, USA",850,400,2642,2018-08-24 01:49:01,2020-12-08 23:16:03,62,"Elon Musk confirms he personally relocated to Texas from California, citing California’s regulations on tech companies https://t.co/160pGyDewv https://t.co/6knu3i8tKk",[]
AkwyZ,@Atos Workplace Expert. Helping Talent & Customers to growth. @axschat @Plus10org @TalentCulture @DTLabUCC. #a11y #HR #CSR #Podcaster🚶🏻‍♂️Research Sociologist,"Cork, London, Lisbon, Munich",28330,77526,380894,2009-01-25 12:01:06,2020-12-08 23:16:02,0,"“Elon Musk Moves to Texas, Takes Jab at Silicon Valley.
Tesla chief is among highest-profile tech executives to leave Silicon Valley during pandemic, criticizing California’s treatment of innovators” https://t.co/1ya3BntGbW https://t.co/nChvFBLOHC",[]
NZStuff,Stuff is New Zealand's largest and most popular news site. Email newstips@stuff.co.nz.,New Zealand,781,213741,332987,2008-07-24 03:59:45,2020-12-08 23:16:02,0,Elon Musk's SpaceX Starship Mars fails to launch with one second to go https://t.co/TXRkiSzbGV,[]
Juperanium,I write stories,Where the universe takes me.,34,15,333,2018-03-17 04:46:51,2020-12-08 23:15:58,267,Elon Musk Is Moving His Operations From California To Texas And Taking His Hundreds Of Millions In Tax Revenue With Him https://t.co/RHCe0gFXLz https://t.co/rcRTWPhfXC,[]
jeanpolpinochet,Nothing ever ends,"Wuhan,China",5002,329,87485,2017-12-27 12:08:35,2020-12-08 23:15:52,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
DataCenterStash,"Rothschild, CEO of Dominion Voting Systems, Plump Jack Group, Ferry Captain to Little St. James, Recruiter at NVIXM, iHeartRadio, Premier Brdcastin, Bilderberg",San Francisco,1327,1197,44,2011-09-17 02:46:25,2020-12-08 23:15:52,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
johncordeira,Real Estate. Superior results and world-class service: expect no less from multimillion-dollar producer. Driving passion for his work. the https://t.co/c3MaOWiPuX,Long Island,661,228,2407,2008-10-10 02:46:57,2020-12-08 23:15:50,0,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas | The Daily Wire https://t.co/Z5AYFJ6E0P",[]
justoverityall,Likes & retweet’s aren’t endorsements.,Georgia,2378,643,5941,2008-12-05 17:48:18,2020-12-08 23:15:45,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
Foldedspace,"A famous man once said, 'We create our own demons.' Who said that? What does that even mean? Doesn't matter. I said it cause he said it.",Tokyo,532,205,16354,2009-03-19 14:25:20,2020-12-08 23:15:42,0,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/4Md4fAvhuZ #ElonMusk #spacex","[{'text': 'ElonMusk', 'indices': [82, 91]}, {'text': 'spacex', 'indices': [92, 99]}]"
sanowano_,If you bet on yourself you could never lose.,"London, U.K.",269,278,28841,2017-07-22 22:11:29,2020-12-08 23:15:40,0,I don’t understand why Elon Musk hasn’t turned into a superhero yet 😔,[]
PadmaFlorida,"Mom, Wife, Daughter, Sister, Friend #BeKind❤️#Resist #Djokovic 🐐#INAT #SayNoToRacism #ECE #Children #Nature #Elephants #Yoga #NovakFoundation #Laugh",Florida,210,253,1817,2020-07-13 04:45:34,2020-12-08 23:15:37,0,"@Seatree12 @3D_cristina No confusion for me at all Nina, totally knew this is about Tesla Motors and about Elon Musk. All good.❤️",[]
EzNebula,I won't ever let them make a loser of my soul...,NYC,252,109,4062,2011-03-01 06:44:35,2020-12-08 23:15:31,0,"@ShoreThing33 @latimes @russ1mitchell I saw a post that said Elon Musk is not Tony Stark, he’s more Lex Luther.",[]
Vithanis1,,,77,5,992,2020-08-07 05:13:11,2020-12-08 23:15:26,395,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
RonWilding,"Retired JCPD Lt, husband to Nancy, Christian, active member of Ormsby Heights Baptist, choir member.",Louisville,120,36,5643,2008-12-08 19:27:18,2020-12-08 23:15:20,395,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
us_army_hua,"U.S. Army Retired: The patriot volunteer, fighting for country and his rights, makes the most reliable soldier on earth. Stonewall Jackson","Texas, USA",122,384,8005,2016-10-08 17:30:39,2020-12-08 23:15:19,395,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
sosleafy,We deliver the news to you so no need to find it yourself. We tweet out important news happening around the world every 30 minutes. Made by @theroyakash,World,1,17,1590,2019-07-21 16:21:42,2020-12-08 23:15:12,0,"Elon Musk confirms: 'Yes, I have moved to Texas' - CNBC is available here: https://t.co/pmPV1BKa3I",[]
FaheemSiddiqi,Father and husband first. CEO @socialwithin (Acq by @Lamark_official). Investor in early stage co’s. Cars and NBA enthusiast.,"Austin, TX",197,1978,1372,2011-04-24 20:40:25,2020-12-08 23:15:11,135,"Elon Musk has confirmed he moved to Texas.

Can't blame him. https://t.co/8KgD5OdVuv",[]
Jon_Rigg22,Proud father and husband - Proud and vocal Conservative - Unapologetically supportive of our Great President.,"Florida, USA",508,90,2516,2020-10-28 15:58:02,2020-12-08 23:15:08,200,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,1127,22791937,622656,2007-03-20 17:46:05,2020-12-08 23:15:06,7,Tesla's Musk relocates to Texas from California; compares himself to war general https://t.co/kMfL53ZaFJ https://t.co/VbUxcBRBnd,[]
SigmaXile,,"Maryland, USA",25,1,113,2019-08-30 15:29:45,2020-12-08 23:15:02,0,"@QuiteShallow Elon musk called, he wants his design back.",[]
Bb1Kehn,"📸 Photographer, Anime, Technology, 💸 Personal Finance, 📈 $ARKK / $TSLA Bull & #Dividend Investor",$brotherkehn,1464,1316,17055,2014-06-09 18:01:17,2020-12-08 23:15:00,20,"Elon Musk: “Yes, I have moved to Texas.” 🏣🚀 https://t.co/CKj9QQmgqw $TSLA #Tesla #SpaceX https://t.co/5i9lOMGifx","[{'text': 'Tesla', 'indices': [87, 93]}, {'text': 'SpaceX', 'indices': [94, 101]}]"
quinten488,@Saints fan ⚜️⚜️⚜️ & aggressive political retweeter,"New Orleans, LA",158,1779,27467,2010-10-17 01:02:15,2020-12-08 23:14:58,267,Elon Musk Is Moving His Operations From California To Texas And Taking His Hundreds Of Millions In Tax Revenue With Him https://t.co/RHCe0gFXLz https://t.co/rcRTWPhfXC,[]
ThePoliticalIn6,"History by education, politically focused. Here to provide my interpretation of what's being said and what I think it means.",Cosmopolitan,146,46,1633,2020-11-21 16:47:13,2020-12-08 23:14:55,0,@SkyNews Elon Musk yoy sly devil,[]
Bamboozle8787,"Wife. Mother. Grandmother. Retired. Love reading, flower gardening and bird watching. Resistant to DJT.","North Carolina, USA",1111,402,31759,2012-07-23 16:21:02,2020-12-08 23:14:54,0,@JennaEllisEsq You DO realize Elon Musk BELIEVES IN SCIENCE.....right?? https://t.co/i9fvSLoNxS,[]
jamesfortexas,"freelance journo #txlege, architecture, art, etc | @quorumreport @fortworthweekly @artsculturetx @nextcity @keranews | IG: jmrussell87 | he him | hire me now","Fort Worth, TX",1352,3819,35015,2009-12-20 13:37:57,2020-12-08 23:14:54,0,Elon Musk confirms that he has moved to Texas https://t.co/qy8gTEgqNn,[]
quinten488,@Saints fan ⚜️⚜️⚜️ & aggressive political retweeter,"New Orleans, LA",158,1779,27467,2010-10-17 01:02:15,2020-12-08 23:14:50,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
metexandude,,"Houston, TX",24,3,70,2015-11-17 19:48:06,2020-12-08 23:14:48,396,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
smundahlrodrigu,,"Pismo Beach, CA",329,127,13788,2016-08-29 22:06:20,2020-12-08 23:14:48,396,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
MississippiLost,Mississippi Delta oppression to Seattle Washington liberation...,"Washington, USA",418,115,8258,2016-06-29 13:04:44,2020-12-08 23:14:44,0,@JennaEllisEsq Elon Musk is a titty baby 🍼,[]
blowfishtrent69,Black Lives Matter. ACAB. I once saw Jesus suck a dick. Dad stuff. Rowdy & Foolish.,The Forest Moon of Endor ,557,466,17449,2013-07-03 23:57:44,2020-12-08 23:14:40,0,@TheDonJuan775 Elon musk is a James Bond super villain from South Africa that’s gonna get to Mars where no one can stop him from building an arsenal of high tech energy and nuclear weapons then come back and fuck us with them.,[]
quinten488,@Saints fan ⚜️⚜️⚜️ & aggressive political retweeter,"New Orleans, LA",158,1779,27467,2010-10-17 01:02:15,2020-12-08 23:14:36,393,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
Lucas_Wyrsch,"Lucas Wyrsch - Networker, Enterprise Risk Management Consultant, Actuary,",Zurich Switzerland,89707,98070,709667,2008-02-11 08:33:54,2020-12-08 23:14:32,0,Elon Musk Confirms He's Moving From California To Texas https://t.co/vl30xx9x3b,[]
Anbu_Eagle,just a ordinary gamer #Gears5 #GearsofWar,United States,729,24,579,2018-11-24 13:57:10,2020-12-08 23:14:30,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
b5forks,A man grateful for what I have achieved and want to protect the opportunities and freedom for the next generation.,United States,1275,1247,92909,2011-10-14 15:28:06,2020-12-08 23:14:24,200,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
Mazzpal,"Technology Real Estate, Content Developer, Entrepreneur, Business Owner. I build on the stones that are thrown. I am a unprofessional food critic... maybe.","Lubbock, TX",209,30,5805,2012-02-02 23:06:57,2020-12-08 23:14:22,267,Elon Musk Is Moving His Operations From California To Texas And Taking His Hundreds Of Millions In Tax Revenue With Him https://t.co/RHCe0gFXLz https://t.co/rcRTWPhfXC,[]
jimharrison2012,Seek the truth,"Calgary, Alberta",223,142,10048,2016-12-10 20:12:02,2020-12-08 23:14:20,0,"If more CEOs stood up like Elon Musk against the tyranny of the leftist politicians - lockdowns would stop  tomorrow - good for Elon - almost makes me want to buy an electric car... no not really.

BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/02pdzaq1nf",[]
Logicrulesreaso,Unapologetic. Will call it as I see it. Don't like it? You know where block and mute are.,United States,660,237,25292,2017-11-03 21:11:01,2020-12-08 23:14:19,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
margot_jamie,"Patriot, Conservative Christian,love this country and our freedom!! MAGA!!",,959,241,221,2020-11-07 01:52:17,2020-12-08 23:14:17,0,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas | The Daily Wire https://t.co/brc0Z30tYk",[]
MDZgo,"🤙🏼Radio/🎤🎙Host 🤙🏼GP🏀🥎PA Announcer🏈 GPISD play by play 🎙🤙🏼Podcast @TXTPSHOW 🤙🏼 PA Announcer / MC 🎙@DFWPRODJS, Ft Worth Star-Telegram pick Em guy","Grand Prairie, TX",838,2568,40041,2009-06-25 03:03:10,2020-12-08 23:14:07,179,"""Yes, I have moved to Texas."" --Elon Musk at @WSJ CEO Council.",[]
sylc5star,Love unique adventure.  Something different! Living out loud !!!! Keep America Blessed! #MAGA sylc@sylc5star on Parler,"Austin, TX",5001,4168,53472,2016-12-27 19:59:32,2020-12-08 23:14:03,396,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
GooseEmperor,,,0,3,2135,2017-09-28 22:13:07,2020-12-08 23:14:01,0,"Elon Musk says he has moved to Texas, from California. https://t.co/hHmvNl540w",[]
MDZgo,"🤙🏼Radio/🎤🎙Host 🤙🏼GP🏀🥎PA Announcer🏈 GPISD play by play 🎙🤙🏼Podcast @TXTPSHOW 🤙🏼 PA Announcer / MC 🎙@DFWPRODJS, Ft Worth Star-Telegram pick Em guy","Grand Prairie, TX",838,2568,40041,2009-06-25 03:03:10,2020-12-08 23:13:59,62,"Elon Musk confirms he personally relocated to Texas from California, citing California’s regulations on tech companies https://t.co/160pGyDewv https://t.co/6knu3i8tKk",[]
ChimpSouth,KEEPING UP WITH CONSPIRACY THEORIES,,2145,2166,49035,2019-08-24 08:53:21,2020-12-08 23:13:58,509,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
BrendaPurington,,,254,273,28832,2013-04-11 13:51:32,2020-12-08 23:13:49,396,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
beer_nipples,"dramatic, cynical, completely deranged (she/her)","Jersey City, NJ",564,291,49832,2015-03-29 00:41:00,2020-12-08 23:13:38,0,What the fuck is corporate surrealism does that just mean she married elon musk https://t.co/sKlTBYguXB,[]
